ComponentAge,MonthlyRunTime,Location,FlowRate,OPXVolume,MaxOutputRate,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor5,DaysSinceMaintenance,Target
0.82,11.9,B,0.9963,,24,7.6,2,0.3,3.44,0.42,0.052,6,0
0.78,10.3,A,0.9938,,136,6.9,1.4,0.21,3.63,0.33,0.056,35,0
0.64,12.1,A,0.9891,,78,5.1,1.3,0.25,3.23,0.36,0.035,40,1
0.42,9.2,A,0.99828,,110,6.5,17.3,0.23,3.15,0.25,0.046,15,0
0.37,13.1,A,0.9892,,138,6.2,3.6,0.29,3.31,0.32,0.026,39,1
0.39,9,A,0.9956,,118,6.8,4.7,0.15,3.43,0.33,0.059,31,1
0.37,11.6,A,0.9911,,146,7.6,3.8,0.24,3.06,0.44,0.037,49,0
0.65,11,B,0.9972,,16,10.7,2.6,0.35,3.15,0.53,0.07,5,1
0.44,12,A,0.9907,8,152,5.9,3.5,0.62,3.44,0.28,0.039,55,0
0.51,9.5,A,0.99592,,183,6.3,11.2,0.28,3.12,0.47,0.04,61,0
0.5,11.7,A,0.98949,,79,6.6,1,0.15,2.96,0.34,0.037,45,0
0.43,9.9,A,0.99286,,112,7.3,1.7,0.26,3.11,0.24,0.05,10,0
0.35,10.9,A,0.9911,,108,6.4,1,0.18,3.31,0.35,0.045,39,0
0.46,9.2,A,0.9974,,182,6.3,13,0.55,3.2,0.45,0.047,33,0
0.48,9,A,0.9976,,178,7.4,13.2,0.25,3.01,0.36,0.067,53,0
0.52,9.2,A,0.99626,0,151,7.2,8.5,0.4,3.2,0.24,0.055,45,0
0.79,10.6,B,0.9971,,14,9.9,2.1,0.35,3.26,0.55,0.062,5,0
0.55,9.3,A,0.9986,,174,6.5,12,0.43,3.31,0.28,0.056,23,0
0.51,10.6,A,0.9917,9,104,5.9,1.3,0.36,3.33,0.41,0.047,45,0
0.33,12,A,0.99452,,154,8.2,12.4,0.3,3.04,0.44,0.043,52,0
0.44,9,A,0.9979,,194,7.2,14.3,0.23,3.09,0.38,0.058,55,0
0.48,11,A,0.9954,,124,6,9.7,0.33,3.47,0.38,0.04,29,0
0.52,11.5,B,0.99331,5,11,7.3,1.2,0.305,3.29,0.39,0.059,7,0
0.5,9.5,B,0.9963,,22,7.7,2.1,0.965,3.26,0.1,0.112,11,0
1.06,9.4,B,0.9986,,18,10.6,2.2,0.36,3.04,0.6,0.152,7,0
0.75,11,B,0.99574,,40,6.3,2.3,0.51,3.42,0.13,0.076,29,0
0.42,11.1,A,0.99254,,104,6.5,6.65,0.26,3.18,0.32,0.059,34,0
0.58,11,A,0.9966,,144,7.7,8.1,0.42,3.4,0.38,0.061,49,0
0.48,9,A,0.99855,,110,5.7,16.65,0.22,3.24,0.22,0.044,39,0
0.49,10.9,A,0.9937,,135,9.6,1.5,0.23,2.96,0.4,0.044,19,0
0.42,11.4,A,0.9936,11,87,7,6.5,0.35,3.4,0.3,0.028,27,1
0.98,11.9,A,0.99002,3,90,5.7,1.8,0.28,3.27,0.36,0.041,38,1
0.46,10,A,0.9922,,147,6.7,1.3,0.31,3.18,0.08,0.038,58,0
0.52,12.7,A,0.99117,4,100,7.9,4.45,0.44,3.17,0.26,0.033,23,0
0.63,11.3,B,0.99538,,33,6.8,2.7,0.64,3.44,0,0.123,15,0
0.45,14,A,0.9907,,88,5.8,7.5,0.39,3.38,0.47,0.027,12,0
0.81,11.2,B,0.9955,,19,8.4,2.3,0.37,3.17,0.43,0.063,12,1
0.65,9.8,B,0.99748,,38,7.4,2,0.61,3.48,0.01,0.074,13,0
0.48,12.4,A,0.99084,,56,7.6,5,0.27,3.06,0.34,0.04,18,0
0.51,12,A,0.9953,,153,7.4,15.1,0.49,3.13,0.24,0.03,34,1
0.48,10.2,A,0.99238,,155,6.3,1.5,0.18,3.19,0.22,0.043,45,0
0.3,9.2,A,0.9983,10,143,7.6,12,0.22,2.99,0.28,0.056,68,0
0.49,9.3,A,0.99488,,150,6.4,7.9,0.23,2.86,0.37,0.05,60,0
0.41,12.9,A,0.98892,1,142,5.9,2,0.3,3.41,0.3,0.03,38,1
0.36,9.8,A,0.9944,10,40,9,3.5,0.2,3.14,0.33,0.049,10,0
0.46,12.4,A,0.99315,,111,5.6,10.2,0.26,3.44,0,0.038,13,0
0.66,9.8,B,0.99689,,31,6.4,1.8,0.64,3.59,0.21,0.081,14,0
0.65,12.9,A,0.99188,,113,6.7,9,0.35,3.13,0.32,0.032,29,1
0.75,10.5,B,0.99659,3,13,9.6,1.9,0.38,3.15,0.42,0.071,5,0
0.6,10.8,A,0.9922,,125,6.7,2,0.17,3.26,0.37,0.039,34,1
0.5,10.5,A,0.9926,,140,6.3,0.9,0.27,3.45,0.38,0.051,7,1
0.48,10.3,A,0.99378,,158,6.3,6.6,0.25,3.2,0.27,0.054,40,0
0.51,9.2,A,0.9982,,188,6.6,15.8,0.24,3.24,0.27,0.035,46,0
0.46,11.1,A,0.9914,,101,6.8,1.9,0.23,3.1,0.33,0.047,20,0
0.39,9.9,A,0.9932,,108,6.3,1.4,0.24,3.27,0.74,0.172,24,0
0.44,12.7,B,0.99007,,109,8,0.9,0.18,2.89,0.37,0.049,36,0
0.85,10.4,B,1,,23,11.9,3.1,0.43,3.15,0.66,0.109,10,1
0.65,9.55,B,0.99745,,11,8.7,1.6,0.675,3.31,0.1,0.09,4,0
0.8,9.7,B,0.9993,3,31,7.2,2.3,0.65,3.67,0.02,0.094,5,0
0.46,11,A,0.99296,,139,6.1,7.75,0.28,3.22,0.3,0.031,33,0
0.57,9.7,B,0.9997,,71,9.6,2.3,0.6,3.5,0.5,0.079,28,0
0.4,11.7,A,0.9942,,41,7.2,12.6,0.34,3.19,0.34,0.048,7,0
0.87,10.3,B,0.999,,28,9.1,2.1,0.22,3.41,0.24,0.078,1,0
0.53,9.1,A,0.99884,,180,7.5,13.1,0.24,3.05,0.31,0.05,26,0
0.34,11.1,A,0.993,,126,7.2,7.1,0.26,3.02,0.44,0.027,25,1
0.48,10.2,B,0.99612,,59,8,2,0.52,3.3,0.25,0.078,19,0
0.51,9.5,B,1.0001,,101,11.1,2.7,0.39,3.13,0.54,0.095,21,0
0.45,8.9,A,0.99896,,111,6,17.8,0.28,3.1,0.24,0.047,42,0
0.77,9.4,B,0.99915,,94,7.5,7,0.65,3.38,0.18,0.088,27,0
0.51,10.6,A,0.9952,,188,6.8,9.8,0.18,3.13,0.24,0.058,64,0
0.58,9.6,B,0.9988,,65,9.2,2.7,0.63,3.28,0.21,0.097,29,0
0.56,10.6,A,0.9946,,179,6.8,6.95,0.23,3.25,0.3,0.044,42,0
0.69,10.4,A,0.9938,,137,6.1,6.6,0.38,3.3,0.2,0.033,25,0
0.86,10.5,B,0.99754,,54,10.2,2.5,0.4,3.38,0.4,0.068,41,0
0.67,10.4,A,0.9979,,133,6.6,16.7,0.32,3.22,0.22,0.046,38,0
0.59,9.7,B,0.99636,,147,7.7,1.9,0.54,3.26,0.26,0.089,23,0
0.39,9,A,0.99792,,149,7,14.7,0.15,2.96,0.28,0.051,29,1
0.54,10.4,A,0.9954,,221,7,8.6,0.21,3.25,0.28,0.045,37,0
0.53,9.4,B,0.9968,,60,8.9,1.8,0.22,3.39,0.48,0.077,29,0
0.91,9.4,B,0.9987,,27,6.9,3,0.54,3.69,0.04,0.077,7,0
0.73,12.5,A,0.99198,,120,6.6,4.6,0.32,3.4,0.26,0.031,26,1
0.44,9.5,A,0.997,,94,7.5,11.7,0.18,3.19,0.31,0.051,24,1
0.63,10.4,A,0.9924,,29,6,1.3,0.26,3.29,0.34,0.046,6,0
0.5,9.8,A,0.99432,,216.5,6.4,4.85,0.37,3.1,0.37,0.041,39.5,0
0.55,12.8,B,0.9928,,8,6.8,1.8,0.36,3.36,0.32,0.067,4,1
0.68,12.5,A,0.98954,,116,6.5,1.6,0.19,3.21,0.34,0.029,39,0
0.44,11.3,A,0.9914,,143,6,3.3,0.31,3.31,0.24,0.041,25,0
0.38,12.7,A,0.99045,,94,6.7,5.4,0.24,3.15,0.26,0.03,15,0
0.48,9.5,A,0.9942,,85,6.9,3.6,0.25,2.99,0.24,0.057,13,0
0.55,9.5,B,0.9968,,143,7.9,2,0.5,3.2,0.33,0.084,15,0
0.46,10.8,A,0.9922,,75,7,1.5,0.17,3.3,0.37,0.028,26,1
0.64,9.7,A,0.9958,,172,6.3,7.2,0.26,3.49,0.24,0.039,38,0
0.5,9.6,A,0.99309,4,210,6.1,1.4,0.38,3.24,0.47,0.051,59,0
0.59,11.3,B,0.99394,,27,8.8,1.7,0.24,3.14,0.35,0.055,13,1
0.55,11,A,0.99178,,113,8.4,1.3,0.23,3.1,0.32,0.048,59,0
0.53,9.1,A,0.99576,3,188,6.5,7.8,0.25,3.2,0.45,0.048,52,0
0.3,11,A,0.99326,,127,6.4,9.1,0.22,2.97,0.38,0.044,35,1
0.59,9.1,A,0.999,,171,7.1,16.5,0.23,3.16,0.35,0.04,60,0
0.54,8.8,A,0.9984,,138,7.8,12.2,0.24,3.01,0.32,0.054,42,0
0.47,10,B,0.9946,,21,7.3,1.2,0.65,3.39,0,0.065,15,1
0.6,9.2,A,0.9964,,172,6.7,8.9,0.47,3.22,0.34,0.043,31,0
0.48,12.3,B,0.9922,,33,6.3,1.4,0.47,3.45,0,0.055,27,0
0.61,9.4,B,1.0004,,53,9.7,2.9,0.55,3.14,0.17,0.087,20,0
0.47,9.4,B,0.99694,,23,8.8,1.6,0.685,3.32,0.26,0.088,16,0
0.72,9.5,A,0.9941,,141,6.5,1.4,0.18,3.34,0.26,0.041,40,0
0.72,10.5,A,0.9931,,119,5.9,1.4,0.17,3.68,0.3,0.042,25,0
0.77,12,A,0.99076,,100,5.5,1.5,0.16,3.43,0.26,0.032,35,0
0.94,12.9,B,0.99264,3,86,5.1,1.7,0.585,3.56,0,0.044,14,1
0.64,12.8,A,0.99158,,114,7,7.75,0.28,3.12,0.32,0.032,30,1
0.48,10.5,A,0.993,,122,6.8,1.7,0.26,3.47,0.42,0.049,41,1
0.53,10.5,A,0.9952,6,242,6.8,8.5,0.18,3.22,0.28,0.047,52,0
0.41,12.2,A,0.991,11,144,7.1,2.7,0.22,3.31,0.74,0.044,42,0
0.55,9,B,0.99685,,37,8.2,2.3,1,3.32,0.09,0.065,7,0
0.6,10.4,B,0.99791,,26,12,1.4,0.63,3.07,0.5,0.071,6,0
0.47,11.7,A,0.9917,,128,6.9,1.6,0.31,3.37,0.34,0.032,23,0
0.47,9.5,A,0.99541,,191,6.6,8.2,0.26,3.16,0.52,0.047,52,0
0.43,9.7,A,0.99271,,140,5.8,1.1,0.38,3.27,0.26,0.058,20,0
0.52,9.2,A,0.99627,7,168,7.4,8.3,0.38,3.11,0.34,0.052,44,0
0.5,11,A,0.9917,,118,7.3,1.6,0.21,3.3,0.29,0.034,29,1
0.85,11,B,0.99534,,44,7.2,2.1,0.36,3.4,0.46,0.074,24,1
0.54,11.3,A,0.99237,,111,7.6,1.9,0.2,3.29,0.36,0.043,24,0
0.65,11,B,0.9988,,49,11.5,2.6,0.59,3.18,0.59,0.087,13,0
0.42,9.3,A,0.99668,6,145,6.3,12.3,0.2,3.16,0.19,0.048,54,0
0.55,9.9,A,0.9934,8,146,5.1,5.7,0.165,3.18,0.22,0.047,42,0
0.53,9,A,0.99865,,197,7.2,13.7,0.23,3.12,0.19,0.052,47,0
0.53,9.2,A,0.9965,,215,7.6,7.6,0.34,3.11,0.39,0.04,45,0
0.58,10.5,B,0.99615,5,63,7.7,2.6,0.43,3.37,0.25,0.073,29,0
0.53,12.9,B,0.99162,,12,6.4,1.65,0.69,3.47,0,0.055,7,0
0.99,12.1,A,0.98976,,121,5.4,1.5,0.23,3.24,0.36,0.03,74,1
0.52,12.2,A,0.99076,,73,7.2,4.5,0.33,2.97,0.22,0.031,10,1
0.49,9.7,A,0.9946,,185,6.3,4.9,0.34,3.15,0.36,0.035,31,0
0.38,9.4,A,0.9934,,86,7.1,1.9,0.28,3.15,0.26,0.049,12,0
0.36,10,A,0.99425,,82,6.4,7.9,0.14,3.26,0.28,0.057,21,0
0.8,11.6,B,0.99484,,34,6.7,2.4,0.32,3.29,0.44,0.061,24,1
0.47,9.7,B,0.99578,,24,10,1.4,0.69,2.88,0.11,0.084,8,0
0.58,9.7,A,0.99794,5,248,6.7,12.1,0.42,3.31,0.39,0.04,61,0
0.41,10.8,A,0.9944,9,124,8.1,7.1,0.29,3.14,0.49,0.042,22,0
0.55,10.8,A,0.9965,,159,5.8,9.1,0.28,3.66,0.66,0.039,26,0
0.49,9.4,A,0.9963,,90,6.4,9.6,0.18,3.35,0.32,0.052,24,0
0.51,10.1,A,0.99155,,77,5.2,0.8,0.16,3.25,0.34,0.029,26,0
0.59,12.8,A,0.9903,,102,7.1,1.8,0.36,3.34,0.24,0.025,32,0
0.48,9,A,0.9976,,178,7.4,13.2,0.25,3.01,0.36,0.067,53,0
0.39,9.4,A,0.9974,,119,7.5,12.4,0.33,3.16,0.39,0.065,29,0
0.92,11.7,B,0.9964,,17,9.4,2.8,0.3,3.15,0.56,0.08,6,1
0.54,11.2,A,0.99164,,90,6.8,1.4,0.14,3.27,0.18,0.047,30,0
0.35,9.8,A,0.99676,,95,6.7,14.8,0.11,3.2,0.26,0.053,44,0
0.38,12.2,A,0.98926,,86,7.3,0.9,0.23,2.9,0.24,0.031,29,0
0.62,12,A,0.9918,1,126,7.1,1.4,0.37,3.19,0.32,0.037,27,0
0.6,9.5,A,0.9982,,204,7.5,14.8,0.31,,0.51,0.039,62,0
0.36,10.7,A,0.9962,,184,7.1,8.7,0.85,3.22,0.49,0.028,40,0
0.52,9.9,B,0.99622,,131,7.8,2,0.6,3.21,0.26,0.08,31,0
0.41,13.5,A,0.99012,,75,6.2,5.4,0.2,3.36,0.33,0.028,21,1
0.55,10.8,A,0.99296,,144,7.3,1.5,0.32,3.2,0.29,0.038,32,0
0.27,12.8,A,0.99054,,93,6.6,6.1,0.36,3.19,0.28,0.029,12,1
0.54,11,A,0.99287,,143,6.8,5.4,0.18,3.1,0.35,0.054,53,1
0.55,11.4,B,0.99605,,12,7.5,2.3,0.38,3.36,0.57,0.106,5,0
0.57,11,A,0.99138,,110,5.8,1.5,0.23,3.3,0.21,0.044,21,0
0.61,9.2,A,0.9971,,191,6.9,9.8,0.38,3.28,0.25,0.04,28,0
0.56,10,B,0.99685,,62,8,2.8,0.725,3.35,0.24,0.083,10,0
0.46,10.4,A,0.99608,,134,7.4,9.6,0.37,3.13,0.26,0.05,33,0
0.58,9.5,A,0.99692,7,155,7.2,8.9,0.34,3.01,0.23,0.105,22,0
0.56,9.2,B,0.9958,,15,6.2,1.6,0.45,3.41,0.2,0.069,3,0
0.37,9.3,A,0.9952,,152,6.9,4.6,0.17,3.29,0.22,0.064,55,0
0.5,11,A,0.9917,,118,7.3,1.6,0.21,3.3,0.29,0.034,29,1
0.44,9.2,A,0.9964,,172,7.2,8,0.25,3.16,0.19,0.044,51,0
0.41,12,A,0.99078,,132,7,2.8,0.22,3.34,0.26,0.036,44,1
0.65,10.03333333,B,0.99704,,28,11.6,1.4,0.475,3.07,0.4,0.091,6,0
0.51,9.3,B,0.9976,,46,8.8,2.8,0.61,3.26,0.3,0.088,17,0
0.44,10.5,A,0.9914,,120,7,1.6,0.22,2.98,0.32,0.045,40,0
0.87,10.3,B,0.999,,28,9.1,2.1,0.22,3.41,0.24,0.078,1,0
0.73,9.3,B,0.9974,,19,7.7,2.4,0.665,3.27,0,0.09,8,0
0.43,9,A,0.99591,,194,6,7,0.26,3.21,0.18,0.055,50,0
0.57,10.56666667,A,0.99212,,177,6.5,1.7,0.51,3.28,0.25,0.048,39,0
0.6,10.1,B,0.9964,,16,6.9,2.4,0.36,3.41,0.25,0.098,5,0
0.38,12.4,A,0.9931,,186,7.7,8.65,0.35,3.14,0.49,0.033,42,1
0.47,10.6,A,0.9951,,138,7.4,10.2,0.29,3.1,0.28,0.032,43,0
0.34,10.7,A,0.9947,,119,5.6,10.6,0.26,3.4,0.27,0.03,27,1
0.61,11.8,A,0.99065,,82,6.2,2.5,0.3,3.31,0.3,0.041,29,1
0.32,11.5,A,0.99038,,148,8.4,0.95,0.31,2.93,0.31,0.021,52,0
0.39,11.7,B,0.99064,,100,6.7,2.4,0.28,3.26,0.28,0.012,36,1
0.48,13.4,A,0.9896,11,93,6.9,4.2,0.33,3.18,0.31,0.04,21,1
0.59,10.3,A,0.9961,,199,7,3.9,0.27,3.54,0.29,0.059,28,0
0.66,11.3,A,0.99048,,122,5.4,1.2,0.255,3.37,0.33,0.051,29,0
0.62,9.3,B,0.9987,,39,7.7,2,0.56,3.48,0.2,0.075,9,0
0.41,9.9,A,0.9928,,184,6.6,1.5,0.36,3.18,0.21,0.049,39,0
0.58,9.7,A,0.9974,,188,7.4,8.2,0.3,3.52,0.49,0.055,49,0
0.46,8.9,A,0.9972,,142,6.8,9.7,0.64,3.37,0.08,0.062,26,0
0.56,10.1,A,0.99338,6,113,7.3,1.5,0.25,3.38,0.28,0.043,19,0
0.44,11.3,A,0.99186,,131,6.3,5.1,0.4,3.24,0.24,0.036,43,0
0.42,11,A,0.9928,7,93,6,6.8,0.2,3.15,0.26,0.049,22,0
0.39,12.8,A,0.9896,,99,5.8,4,0.28,3.39,0.34,0.031,40,1
0.34,12.1,A,0.99084,,119,7.7,1.2,0.3,3.18,0.34,0.048,4,0
0.63,11.6,B,0.99646,,32,6.2,4.4,0.52,3.56,0.08,0.071,11,0
0.4,9.8,A,0.9987,,183,7.2,12.7,0.23,3.41,0.33,0.049,50,0
0.46,10,A,0.9968,,212,8.1,11.8,0.2,3.09,0.49,0.048,46,1
0.51,11.4,A,0.9918,10,173,7.3,1.6,0.26,3.19,0.31,0.04,39,0
0.63,9.6,A,0.9972,,209,7.5,10.2,0.28,3.16,0.39,0.045,59,0
0.71,12.3,A,0.9906,,114,7.2,2,0.32,3.1,0.36,0.033,37,1
0.34,9.4,A,0.9956,,131,8.9,1.6,0.32,3.13,0.49,0.05,17,0
0.47,11.3,A,0.9916,,132,6.1,4.25,0.44,3.26,0.28,0.032,43,1
0.6,10.9,B,0.9962,,56,8.8,2.2,0.55,3.21,0.04,0.119,14,0
0.49,10.8,A,0.99326,,131,6.9,6.3,0.22,3.08,0.31,0.029,41,0
0.4,9.2,A,0.99318,,100,7,1.1,0.23,3.04,0.42,0.062,35,0
0.77,13,B,1.0018,,77,13.5,4.8,0.53,3.18,0.79,0.12,23,0
0.37,10.2,A,0.9956,,139,6.5,8.8,0.28,3.32,0.26,0.04,44,0
0.33,12.6,A,0.99082,,105,7.1,5.5,0.26,3.06,0.37,0.025,31,1
,10.4,A,0.9929,,140,6.3,1.8,0.495,3.39,0.22,0.046,31,0
0.51,9.2,A,0.9936,,149,7.2,2.4,0.27,3.1,0.27,0.048,30,0
0.46,9.8,A,0.99556,,90,7,8.9,0.22,3.29,0.29,0.05,24,0
0.61,9.3,A,0.9983,,181,7,14.9,0.3,3.18,0.38,0.032,60,1
0.56,11.3,A,0.99121,,148,7.1,2.6,0.23,3.03,0.3,0.034,62,1
0.39,10.9,A,0.993,,134,7.1,6.2,0.09,2.99,0.3,0.032,24,0
0.38,10.7,A,0.99184,,156,5.5,1.3,0.32,3.26,0.13,0.037,45,0
0.59,9.9,A,0.9953,11,131,6.8,8.8,0.41,3.12,0.3,0.045,28,0
0.45,11.6,A,0.99051,,126,6,1.1,0.2,3.31,0.33,0.039,45,1
0.82,12.3,A,0.991,,165,7.9,1.2,0.14,3.08,0.74,0.028,30,0
0.62,9.1,B,0.9984,,63,8.3,2.9,0.58,3.17,0.13,0.096,14,0
0.61,8.5,A,1.00038,,183,6.4,18,0.18,2.98,0.48,0.054,56,0
0.44,9,A,0.9949,,104,5.5,4.6,0.14,3.34,0.27,0.029,22,0
0.51,10.5,A,0.9926,0,164,6.9,1,0.18,3.42,0.33,0.054,24,0
0.76,8.5,A,1,,143,7.8,12.6,0.18,3.24,0.46,0.042,41,1
0.45,9.1,A,0.9942,,172,6.4,5.5,0.3,3.08,0.51,0.048,62,0
0.52,9.5,A,0.99586,,192,6.8,8.2,0.27,3.11,0.37,0.055,52,0
0.7,10.3,B,0.9967,,53,7.5,3,0.4,3.37,0.12,0.092,29,0
0.79,14,B,0.9916,,63,5.2,1.8,0.34,3.68,0,0.05,27,0
0.48,9.7,A,0.99382,,138,5.8,6.3,0.3,3.15,0.09,0.042,36,0
0.95,9.5,A,0.9934,,117,6.9,1.3,0.18,3.27,0.36,0.036,40,1
0.41,12.2,A,0.9935,,98,8,7.7,0.4,3.18,0.33,0.034,27,1
0.55,10.2,A,0.99426,,178,4.6,1.4,0.445,3.79,0,0.053,11,0
0.3,12.5,A,0.9886,,117,6.1,2.2,0.27,3.12,0.33,0.021,26,0
0.52,9.9,B,0.99625,,49,8,1.8,0.38,3.37,0.06,0.078,12,0
0.4,9.1,A,0.998,,159,6.4,14.5,0.22,2.98,0.56,0.055,27,0
0.46,10,A,0.9924,,98,7.3,1.4,0.2,3.15,0.44,0.045,21,1
0.41,12.3,A,0.98964,,76,6.5,1.3,0.15,3.18,0.32,0.036,19,0
0.45,12.2,A,0.9925,,103,5.2,7.7,0.38,3.27,0.26,0.053,20,0
0.48,9,A,0.99827,,159,6.9,15.7,0.3,3.11,0.21,0.056,49,0
0.74,9.2,B,0.998,,54,7.7,2.1,0.51,3.42,0.28,0.087,23,0
0.82,10.3,B,0.9992,6,20,12.6,2.5,0.39,3.07,0.49,0.08,8,0
0.6,10.4,A,0.99546,,141,6.6,8.5,0.25,3.28,0.33,0.042,29,0
0.78,10.9,B,0.99702,,14,9.3,1.7,0.49,3.27,0.36,0.081,3,0
0.44,8.8,A,0.9976,7,163,6.8,11.8,0.37,3.19,0.51,0.044,62,0
0.4,10.5,A,0.99144,,45,6.7,3.6,0.27,3.08,0.33,0.034,9,0
1,11.5,B,1.0008,,99,12.4,3,0.49,3.16,0.58,0.103,28,0
0.41,9,A,0.9981,,224,5.9,12,0.29,3.23,0.25,0.057,48,0
0.6,9.8,A,0.99699,,173,7.4,11.8,0.27,3.11,0.26,0.053,55,0
0.54,10.1,A,0.99658,,142,6,15.55,0.29,3.11,0.21,0.043,20,0
0.44,11,A,0.992,,217.5,6.4,1.15,0.23,3.33,0.33,0.044,15.5,0
0.44,9.6,A,0.9954,,151,6.7,6.4,0.33,3.16,0.42,0.058,27,0
0.37,8.9,A,0.9932,,110,6.2,1.4,0.16,3.23,0.54,0.126,37,0
0.81,9.6,B,0.9973,,20,7.2,1.4,0.52,3.32,0.07,0.074,5,0
0.51,9.1,A,0.99675,,133,6.6,8.9,0.56,3.2,0.22,0.034,27,0
0.32,9.9,A,0.9926,,24,8.9,1,0.13,2.91,0.49,0.028,6,0
0.64,12.9,A,0.98889,,95,5.9,1.3,0.24,3.08,0.28,0.032,36,1
0.36,8.7,A,0.9978,,133,7.5,10.9,0.21,3,0.68,0.045,38,0
0.57,9.4,A,0.99711,,199,7.5,8.7,0.33,2.98,0.38,0.126,49,0
0.38,11.3,A,0.9925,,121,5.7,9.65,0.23,3.28,0.28,0.025,26,0
0.3,9.1,A,0.99571,,207,6,9.7,0.23,3.05,0.15,0.048,101,0
0.69,11.4,A,0.9929,,134,6.9,1.7,0.27,3.15,0.41,0.047,6,0
0.67,9.6,B,0.9982,,37,9.5,2.3,0.55,3.17,0.66,0.387,12,0
0.53,11.3,A,0.9917,,171,7.4,1.1,0.34,3.12,0.42,0.033,17,0
0.48,13,A,0.99026,,113,7.5,4.9,0.38,3.08,0.29,0.021,38,1
0.42,9.8,A,1.0004,,197,6.5,16.3,0.26,3.49,0.34,0.051,56,0
0.55,9.4,A,0.9966,,185,7,7.5,0.21,3.34,0.28,0.07,45,0
0.35,11.4,A,0.991,,128,6.8,0.9,0.22,3.25,0.49,0.052,26,0
0.44,9.9,A,0.9934,,127,7.8,1.8,0.27,3.15,0.28,0.05,21,0
0.66,9.5,A,0.9997,,225,7.6,17.5,0.29,3.16,0.58,0.041,51,0
0.53,12.5,B,0.99531,,26,10.1,2.3,0.27,3.17,0.54,0.065,7,0
0.38,9,A,0.9986,2,205,7.2,14.4,0.25,3.12,0.28,0.055,55,1
0.6,11,A,0.99282,,159,6.2,6.3,0.27,3.21,0.32,0.048,47,0
0.54,10.1,B,0.99546,,20,7.2,2,0.695,3.29,0.13,0.076,12,0
0.8,9.6,A,0.9945,,153,7.5,1.3,0.14,3.29,0.34,0.055,50,0
0.52,9.9,B,0.99622,,131,7.8,2,0.6,3.21,0.26,0.08,31,0
0.51,11.9,A,0.99088,10,122,7.9,1.7,0.27,2.97,0.27,0.034,25,0
0.42,11,A,0.9928,,93,6,6.8,0.2,3.15,0.26,0.049,22,0
0.55,12.05,A,0.9897,,98,5,1.9,0.2,3.37,0.4,0.015,20,0
0.56,11.6,B,0.99402,,26,5.4,1.7,0.74,3.67,0.09,0.089,16,0
0.44,9.2,B,0.9955,,68,7.6,2.3,0.79,3.12,0.21,0.087,21,0
0.38,11.6,A,0.9938,,73,9,6.6,0.31,2.9,0.48,0.043,11,0
0.51,11.8,A,0.99161,,104,6,6.2,0.28,3.28,0.52,0.028,37,1
0.5,12.3,A,0.9897,,93,5.7,1.4,0.33,3.31,0.32,0.043,28,0
0.44,12.6,A,0.9896,,98,6.7,2.4,0.46,3.08,0.18,0.034,25,1
0.72,11.3,A,0.99096,,93,7.8,1.1,0.15,3.07,0.34,0.035,31,1
0.35,12,A,0.99044,,87,7.3,2.3,0.2,2.94,0.39,0.048,24,0
0.49,9.5,B,1.0004,,18,12.3,2.3,0.39,3.16,0.63,0.091,6,0
0.54,9.4,A,0.9954,,104,7,5.7,0.19,3.04,0.23,0.123,27,0
0.48,9.1,B,0.99554,,10,8.9,1.4,0.84,3.12,0.34,0.05,4,0
0.56,9.6,B,0.9969,,20,7,2.5,0.805,3.48,0,0.068,7,0
0.55,9.4,B,0.9963,,42,8.7,2.3,0.765,3.1,0.22,0.064,9,0
0.63,11.3,A,0.99159,,107,6.7,2.8,0.3,3.31,0.29,0.025,37,1
0.38,12.3,A,0.9946,,206,5.8,12.7,0.27,3.32,0.22,0.058,42,0
0.33,9.6,A,0.9958,,212,7.4,6.4,0.19,3.3,0.42,0.067,39,0
0.65,10.4,B,0.99588,,17,6.4,2.2,0.79,3.53,0.04,0.061,11,0
0.51,9.7,A,0.99604,,131,6.6,11.4,0.23,2.96,0.2,0.044,45,0
0.5,10.6,A,0.9915,,60,7.7,1.1,0.26,2.89,0.4,0.042,9,0
0.67,10.4,A,0.9979,11,133,6.6,16.7,0.32,3.22,0.22,0.046,38,0
0.56,12.7,A,0.99036,,81,6.3,4.7,0.29,3.24,0.28,0.059,28,1
0.51,10,A,0.995,,178,7.9,3,0.18,3.22,0.37,0.061,25,0
0.74,11.2,B,0.9998,10,22,10.4,2.8,0.33,3.26,0.63,0.084,5,1
0.52,9.1,A,0.9939,,110,6.4,1.1,0.43,3.24,0.27,0.054,5,0
0.53,9,A,0.99449,,132,7.2,1.4,0.39,3.11,0.54,0.157,34,0
0.31,12.4,A,0.9897,,145,5.2,5.1,0.31,3.14,0.36,0.031,46,1
0.63,12.5,A,0.99028,,88,6.5,3.8,0.33,3.25,0.3,0.036,34,1
0.61,10.3,A,0.9944,,72,8.3,1.3,0.27,3.08,0.45,0.048,8,0
0.77,9.6,A,0.9983,,153,6.9,12.5,0.24,3.28,0.33,0.046,47,0
0.92,9.5,B,0.9973,,44,7.9,1.8,0.4,3.3,0.29,0.157,1,0
0.68,10,A,0.99378,5,134,5.6,2.2,0.295,3.21,0.2,0.049,18,0
0.56,12,B,0.99566,,10,8.5,6.3,0.4,3.28,0.4,0.05,3,0
