,ComponentAge,MonthlyRunTime,Location,FlowRate,MaxOutputRate,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor5.1,DaysSinceMaintenance,Target,A,Location A
1472,0.88,10.5,B,0.998,19.0,11.0,2.1,0.3,3.31,0.58,0.054,7.0,1,0,0
1473,0.62,11.7,B,0.99397,29.0,6.6,2.4,0.56,3.42,0.14,0.064,13.0,1,0,0
1474,0.46,9.0,A,1.0,170.0,7.5,18.9,0.305,2.99,0.4,0.059,44.0,0,1,1
1475,0.37,13.0,B,0.99286,7.0,8.0,2.6,0.6,3.22,0.08,0.056,3.0,0,0,0
1476,0.68,11.5,B,0.9965,16.0,8.3,4.2,0.76,3.45,0.29,0.075,12.0,0,0,0
1477,0.5,10.0,A,0.9986,214.0,7.2,12.7,0.26,3.41,0.26,0.036,49.0,0,1,1
1478,0.72,10.0,B,0.9994,28.0,8.3,2.6,0.705,3.51,0.12,0.092,12.0,0,0,0
1479,0.54,11.95,B,0.99348,18.0,6.2,1.6,0.65,3.57,0.06,0.05,6.0,0,0,0
1480,0.43,10.4,A,0.9924,172.0,6.2,3.4,0.26,3.14,0.19,0.049,47.0,0,1,1
1482,0.46,10.7,A,0.99207,95.0,6.8,1.7,0.23,3.17,0.3,0.043,19.0,1,1,1
1483,0.76,10.1,B,0.9966,25.0,8.7,1.4,0.31,3.36,0.46,0.059,11.0,0,0,0
1484,0.4,9.5,A,0.9983,145.0,6.7,12.3,0.24,3.36,0.33,0.046,31.0,0,1,1
1486,0.45,9.5,A,1.0004,119.0,9.8,15.4,0.31,3.18,0.49,0.046,13.0,0,1,1
1487,0.44,10.7,A,0.992,158.0,5.6,4.2,0.28,3.35,0.28,0.044,52.0,1,1,1
1488,0.56,10.1,A,0.99274,124.0,6.6,1.4,0.36,3.09,0.47,0.145,26.0,0,1,1
1489,0.54,12.0,B,0.9976,30.0,9.4,2.8,0.33,3.12,0.59,0.079,9.0,0,0,0
1490,0.38,13.0,A,0.98912,71.0,6.7,1.0,0.19,3.31,0.39,0.032,14.0,1,1,1
1491,0.42,9.5,A,0.9935,137.0,6.8,1.4,0.25,3.11,0.18,0.056,13.0,0,1,1
1492,1.17,9.0,B,0.9979,62.0,8.6,2.0,0.49,3.03,0.51,0.422,16.0,0,0,0
1493,0.35,9.0,A,0.99398,86.0,7.0,4.5,0.48,2.86,0.12,0.05,23.0,0,1,1
1494,0.36,12.5,A,0.98914,95.0,7.2,1.2,0.24,2.96,0.3,0.037,11.0,0,1,1
1495,0.4,9.6,A,0.9998,179.0,6.8,16.95,0.26,3.45,0.29,0.056,48.0,0,1,1
1496,0.45,9.5,A,0.99416,89.0,8.4,2.8,0.2,2.96,0.31,0.054,16.0,0,1,1
1497,0.64,12.5,A,0.99176,204.0,7.0,5.7,0.33,3.17,0.28,0.033,39.0,0,1,1
1498,0.49,12.8,A,0.99176,130.0,7.2,7.0,0.26,3.14,0.24,0.023,19.0,1,1,1
1500,0.44,8.8,A,0.998,162.0,7.2,13.6,0.26,3.03,0.74,0.05,56.0,0,1,1
1501,0.35,9.2,A,0.9974,109.0,7.3,14.4,0.13,3.2,0.32,0.051,34.0,0,1,1
1502,0.47,9.5,A,0.99422,98.0,7.6,4.6,0.17,3.08,0.27,0.05,23.0,0,1,1
1503,0.53,9.7,B,0.9971,85.0,8.9,2.0,0.31,3.26,0.57,0.111,26.0,0,0,0
1504,0.5,10.3,A,0.9957,168.0,6.9,7.0,0.22,3.54,0.49,0.063,50.0,0,1,1
1505,0.34,10.93333333,A,0.99334,119.0,6.4,9.65,0.29,2.99,0.21,0.041,36.0,0,1,1
1506,0.39,8.7,A,0.99886,134.0,8.1,13.6,0.36,2.96,0.59,0.051,60.0,0,1,1
1507,0.43,9.8,A,0.99691,178.0,6.6,11.6,0.26,3.33,0.25,0.045,45.0,0,1,1
1508,0.51,9.8,A,0.9963,214.0,7.2,11.6,0.37,3.1,0.4,0.032,34.0,0,1,1
1510,0.64,11.73333333,A,0.99018,118.0,6.0,1.3,0.24,3.04,0.41,0.036,42.0,0,1,1
1511,0.35,12.6,A,0.99262,109.0,6.7,9.0,0.24,3.34,0.32,0.023,20.0,0,1,1
1512,0.44,10.6,A,0.99471,151.0,6.1,6.2,0.15,3.6,0.29,0.046,39.0,0,1,1
1514,0.57,12.9,A,0.99001,76.0,9.0,2.1,0.38,2.93,0.53,0.102,19.0,0,1,1
1516,0.42,9.6,A,0.9942,125.0,6.6,5.1,0.15,3.36,0.34,0.055,34.0,0,1,1
1517,0.82,12.9,B,0.99418,70.0,7.3,2.1,0.52,3.34,0.32,0.07,51.0,0,0,0
1518,0.32,10.0,A,0.9932,26.0,6.5,1.4,0.52,3.26,0.17,0.047,5.0,0,1,1
1519,0.43,13.0,A,0.9932,63.0,7.9,12.9,0.35,2.99,0.28,0.032,13.0,0,1,1
1520,0.47,9.3,A,0.99478,103.0,5.8,5.1,0.13,3.36,0.26,0.039,19.0,0,1,1
1522,0.37,10.1,A,0.9938,169.0,8.3,1.7,0.2,3.05,0.49,0.04,34.0,0,1,1
1523,0.38,9.9,A,0.99588,82.0,6.6,10.5,0.35,3.13,0.19,0.06,15.0,0,1,1
1525,0.73,10.5,B,0.9996,72.0,12.5,2.6,0.38,3.1,0.6,0.081,31.0,0,0,0
1526,0.65,9.3,B,0.99625,45.0,7.9,1.7,0.33,3.29,0.23,0.077,18.0,0,0,0
1527,0.51,10.9,B,0.99556,21.0,9.7,1.5,0.295,3.14,0.4,0.073,14.0,0,0,0
1528,0.46,9.6,A,0.99696,131.0,6.9,10.0,0.28,3.08,0.22,0.052,36.0,0,1,1
1529,0.51,10.8,B,0.99551,12.0,6.5,2.3,0.885,3.56,0.0,0.166,6.0,0,0,0
1530,0.72,11.7,A,0.9914,138.0,6.1,1.9,0.2,3.26,0.4,0.028,32.0,0,1,1
1532,0.33,10.6,A,0.9951,154.0,8.2,9.6,0.22,3.02,0.49,0.037,53.0,0,1,1
1533,0.38,10.5,A,0.9962,174.0,7.6,10.6,0.19,3.13,0.38,0.06,48.0,0,1,1
1534,0.54,10.6,A,0.9962,142.0,6.4,15.6,0.29,3.1,0.2,0.04,20.0,0,1,1
1535,0.68,10.9,A,0.99199,71.0,5.7,1.2,0.18,3.7,0.36,0.046,9.0,1,1,1
1536,0.46,9.6,A,0.9928,87.0,6.1,1.5,0.22,3.3,0.49,0.051,18.0,0,1,1
1537,1.0,12.6,A,0.99188,120.0,9.6,2.0,0.655,3.0,0.21,0.039,21.0,0,1,1
1538,0.61,11.8,A,0.99132,89.0,7.4,1.2,0.2,3.14,0.37,0.028,28.0,0,1,1
1539,0.4,8.7,A,0.9982,165.0,7.3,13.5,0.3,3.02,0.74,0.039,46.0,0,1,1
1540,0.55,11.9,A,0.9962,212.0,6.3,10.0,0.31,3.74,0.3,0.046,49.0,0,1,1
1541,0.6,12.2,B,0.99414,40.0,9.0,2.0,0.4,3.22,0.41,0.058,15.0,0,0,0
1542,0.46,10.9,A,0.99567,115.0,7.5,9.9,0.29,3.15,0.24,0.058,25.0,0,1,1
1543,0.59,12.1,B,0.99586,10.0,8.9,4.0,0.48,3.21,0.53,0.101,3.0,1,0,0
1544,0.74,11.6,B,1.0002,81.0,8.7,3.0,0.69,3.48,0.31,0.086,23.0,0,0,0
1545,0.44,9.0,A,0.9949,104.0,5.5,4.6,0.14,3.34,0.27,0.029,22.0,0,1,1
1547,0.57,13.1,A,0.98964,94.0,5.9,4.7,0.32,3.22,0.28,0.039,34.0,1,1,1
1548,0.45,9.4,B,0.99632,47.0,7.1,2.35,0.715,3.29,0.0,0.071,21.0,0,0,0
1549,0.57,12.3,A,0.992,101.0,8.0,5.0,0.42,3.13,0.36,0.037,34.0,1,1,1
1550,0.29,10.8,A,0.99338,113.0,7.4,6.8,0.25,3.13,0.29,0.02,31.0,0,1,1
1552,0.47,9.5,A,0.99728,152.0,6.2,12.4,0.22,3.1,0.3,0.054,108.0,0,1,1
1553,0.54,9.5,B,0.9976,45.0,7.1,3.9,0.66,3.46,0.0,0.086,17.0,0,0,0
1554,0.5,9.8,A,0.998,197.0,8.5,16.2,0.26,3.02,0.21,0.074,41.0,0,1,1
1556,0.42,11.1,A,0.99106,103.0,6.9,2.3,0.32,3.06,0.26,0.03,11.0,0,1,1
1557,0.47,10.5,A,0.993,144.0,7.9,1.6,0.2,3.16,0.49,0.053,15.0,0,1,1
1558,0.37,11.6,A,0.9948,137.0,6.9,13.8,0.37,3.1,0.28,0.031,34.0,0,1,1
1559,0.87,11.2,B,0.99428,24.0,6.2,2.0,0.39,3.45,0.43,0.071,14.0,1,0,0
1560,0.51,12.8,A,0.9902,109.0,7.2,1.4,0.32,3.15,0.33,0.029,29.0,1,1,1
1561,0.33,13.4,A,0.9884,74.0,6.1,1.8,0.22,3.19,0.46,0.16,34.0,0,1,1
1562,0.61,10.9,B,0.99514,37.0,7.1,2.3,0.6,3.4,0.01,0.079,24.0,0,0,0
1563,0.7,11.7,A,0.98958,115.0,6.4,1.4,0.22,3.18,0.34,0.023,56.0,0,1,1
1564,0.75,8.8,B,1.00242,82.0,9.9,13.8,0.5,3.16,0.5,0.205,48.0,0,0,0
1565,0.54,10.0,A,0.9938,170.0,6.0,1.9,0.24,3.64,0.27,0.048,40.0,1,1,1
1566,0.62,11.5,B,0.99557,13.0,6.5,2.2,0.58,3.62,0.0,0.096,3.0,0,0,0
1567,0.52,10.1,A,0.9937,94.0,8.3,1.2,0.18,3.18,0.37,0.049,6.0,0,1,1
1568,0.44,9.5,A,0.997,165.0,5.9,11.3,0.25,3.24,0.25,0.052,30.0,0,1,1
1569,0.39,9.3,A,0.9927,140.0,6.6,1.1,0.16,3.12,0.57,0.13,58.0,1,1,1
1570,0.5,9.8,A,0.99278,91.0,5.3,3.6,0.2,3.41,0.31,0.036,22.0,0,1,1
1571,0.63,10.6,A,0.9928,130.0,6.7,2.1,0.31,3.36,0.3,0.038,18.0,0,1,1
1573,0.31,11.7,A,0.992,76.0,7.9,3.6,0.28,3.05,0.32,0.038,9.0,0,1,1
1574,0.46,12.3,A,0.9898,98.0,6.9,1.6,0.19,3.09,0.33,0.039,27.0,1,1,1
1575,0.52,9.7,A,0.996,187.0,7.1,8.2,0.26,3.16,0.19,0.051,53.0,0,1,1
1576,0.47,8.8,A,0.99975,169.0,8.7,13.4,0.23,3.12,0.32,0.044,35.0,1,1,1
1577,0.28,11.2,A,0.9906,138.0,7.0,1.2,0.33,3.13,0.32,0.053,38.0,0,1,1
1578,0.53,9.0,B,0.9978,24.0,7.0,1.8,0.62,3.48,0.08,0.076,8.0,0,0,0
1579,0.63,9.3,B,0.99735,18.0,7.8,2.3,0.62,3.29,0.05,0.079,6.0,0,0,0
1580,0.74,10.8,A,0.99214,144.0,5.9,4.2,0.22,3.13,0.29,0.037,69.0,1,1,1
1582,0.61,12.6,A,0.99,139.0,6.8,2.1,0.21,3.16,0.27,0.03,26.0,1,1,1
1583,0.66,9.4,B,0.9968,134.0,8.0,2.0,0.745,3.24,0.56,0.118,30.0,0,0,0
1584,0.37,11.2,A,0.99356,118.0,6.4,10.8,0.27,3.18,0.29,0.028,17.0,0,1,1
1585,0.5,10.2,A,0.99137,119.0,5.8,1.2,0.15,3.19,0.32,0.037,14.0,0,1,1
1586,0.49,12.3,A,0.99165,148.0,6.9,4.7,0.34,3.36,0.3,0.029,34.0,1,1,1
1587,0.44,9.1,A,1.0,195.0,7.4,19.8,0.28,2.96,0.42,0.066,53.0,0,1,1
1588,0.46,9.0,A,1.0002,197.0,7.3,17.3,0.18,3.13,0.31,0.055,32.0,0,1,1
1589,0.58,10.9,A,0.99221,102.0,6.6,2.3,0.21,3.22,0.39,0.041,31.0,1,1,1
1591,0.62,11.1,A,0.99338,125.0,7.5,5.7,0.26,3.13,0.38,0.021,23.0,0,1,1
1592,0.58,11.1,B,0.99613,51.0,9.5,2.0,0.37,3.29,0.52,0.088,12.0,0,0,0
1593,0.34,11.5,A,0.9937,91.0,9.0,6.9,0.31,2.99,0.49,0.034,26.0,0,1,1
1594,0.46,12.4,A,0.99,79.0,6.8,4.0,0.37,3.23,0.28,0.03,29.0,1,1,1
1596,0.56,8.8,A,0.9987,181.0,6.7,16.3,0.34,3.04,0.54,0.047,44.0,0,1,1
1597,0.43,10.3,A,0.99684,115.0,5.9,14.5,0.32,3.16,0.19,0.042,37.0,0,1,1
1598,0.5,11.4,A,0.9917,107.0,6.3,1.5,0.2,3.46,0.4,0.037,35.0,0,1,1
1599,0.76,9.4,A,0.99922,183.0,7.2,15.7,0.21,3.25,0.36,0.045,68.0,0,1,1
1600,0.58,9.6,A,0.99692,194.0,7.8,10.4,0.32,3.07,0.33,0.031,47.0,0,1,1
1601,0.42,9.6,A,1.0,185.0,7.2,17.85,0.24,3.34,0.4,0.049,50.0,0,1,1
1602,0.46,13.0,A,0.99056,134.0,6.7,4.75,0.47,3.29,0.29,0.034,29.0,1,1,1
1603,0.5,13.5,A,0.98815,53.0,5.6,1.9,0.41,3.32,0.24,0.034,10.0,1,1,1
1605,0.38,9.4,A,0.995,155.0,6.3,5.8,0.27,3.28,0.25,0.038,52.0,0,1,1
1606,0.42,12.9,A,0.9903,113.0,7.1,2.2,0.26,3.37,0.49,0.032,31.0,1,1,1
1607,0.45,11.3,A,0.9914,106.0,7.6,1.2,0.21,3.06,0.35,0.041,7.0,0,1,1
1608,0.39,9.8,A,0.9928,60.0,6.5,1.6,0.24,3.19,0.24,0.046,15.0,0,1,1
1609,0.75,11.3,A,0.99058,122.0,6.4,1.2,0.16,3.11,0.44,0.051,39.0,1,1,1
1610,0.4,11.9,A,0.98994,70.0,5.8,1.55,0.315,3.37,0.27,0.026,15.0,1,1,1
1611,0.45,9.3,A,0.99594,183.0,6.6,6.9,0.26,3.2,0.46,0.047,59.0,0,1,1
1612,0.6,11.0,B,0.99627,23.0,6.6,2.4,0.855,3.54,0.02,0.062,15.0,0,0,0
1613,0.64,9.4,B,0.99735,38.0,8.4,2.4,0.715,3.31,0.2,0.076,10.0,0,0,0
1614,0.9,13.7,A,0.9907,116.0,5.6,4.5,0.49,3.42,0.13,0.039,17.0,1,1,1
1615,0.59,10.5,A,0.9962,149.0,7.5,9.4,0.24,3.17,0.49,0.048,50.0,1,1,1
1616,0.89,9.9,B,0.9996,54.0,10.4,3.2,0.41,3.15,0.55,0.076,22.0,0,0,0
1617,0.65,9.8,B,0.99732,37.0,6.5,2.4,0.46,3.66,0.14,0.114,9.0,0,0,0
1618,0.6,11.3,B,0.99402,32.0,6.2,1.7,0.56,3.54,0.09,0.053,24.0,0,0,0
1619,0.6,12.2,B,0.9943,46.0,9.0,2.4,0.4,3.2,0.43,0.068,29.0,0,0,0
1620,0.47,9.4,A,0.99628,167.0,6.7,8.8,0.35,3.04,0.48,0.056,35.0,0,1,1
1621,0.63,11.3,B,0.99538,33.0,6.8,2.7,0.64,3.44,0.0,0.123,15.0,0,0,0
1622,0.62,10.8,B,0.9986,19.0,11.8,2.1,0.38,3.11,0.55,0.071,5.0,0,0,0
1623,0.27,13.0,A,0.99031,88.0,6.1,8.15,0.36,3.06,0.26,0.035,14.0,1,1,1
1624,0.49,9.4,A,0.99754,186.0,6.9,12.9,0.4,3.08,0.17,0.033,59.0,0,1,1
1625,0.54,11.2,B,0.99402,30.0,6.1,1.7,0.48,3.45,0.09,0.078,18.0,0,0,0
1626,0.61,9.9,A,0.9939,163.0,4.8,6.5,0.34,3.36,0.0,0.028,33.0,0,1,1
1627,0.52,10.8,A,0.99384,157.0,6.6,6.7,0.16,3.15,0.21,0.055,43.0,0,1,1
1628,0.4,10.7,A,0.99397,128.0,7.1,7.8,0.29,3.21,0.34,0.036,49.0,0,1,1
1629,0.77,9.5,B,0.9968,52.0,8.3,1.8,0.715,3.23,0.15,0.089,10.0,0,0,0
1630,0.49,9.5,A,0.99474,166.0,7.1,6.3,0.33,2.9,0.18,0.094,27.0,0,1,1
1631,1.1,10.0,B,0.996,13.0,7.2,1.7,0.33,3.23,0.33,0.061,3.0,1,0,0
1632,0.44,8.8,A,0.9995,155.0,6.7,15.6,0.19,3.2,0.41,0.056,75.0,0,1,1
1633,0.7,9.6,B,0.9972,27.0,7.2,1.6,0.57,3.36,0.06,0.076,9.0,0,0,0
1634,0.66,11.7,B,0.997,20.0,10.6,2.2,0.48,3.26,0.64,0.111,6.0,0,0,0
1635,0.59,9.1,B,0.9982,106.0,9.1,2.6,0.47,3.08,0.49,0.094,38.0,0,0,0
1636,0.4,8.8,A,1.001,243.0,7.5,19.45,0.33,2.95,0.48,0.048,55.0,0,1,1
1637,0.54,9.4,A,0.99552,176.0,6.9,6.2,0.4,3.12,0.42,0.066,41.0,0,1,1
1638,0.53,13.3,B,0.99252,24.0,7.1,2.1,0.39,3.3,0.12,0.065,14.0,0,0,0
1639,0.67,8.8,A,0.9994,168.0,7.0,14.6,0.28,3.34,0.33,0.043,47.0,0,1,1
1640,0.5,12.6,A,0.9904,115.0,5.6,3.6,0.25,3.42,0.26,0.037,18.0,0,1,1
1641,0.48,12.0,A,0.99518,142.0,7.1,14.8,0.47,3.12,0.29,0.024,22.0,1,1,1
1642,0.64,13.1,A,0.989,105.0,6.2,4.3,0.28,2.98,0.28,0.026,22.0,1,1,1
1643,0.57,11.0,B,0.9962,49.0,8.7,2.0,0.625,3.14,0.16,0.101,13.0,0,0,0
1644,0.58,10.13333333,A,0.99365,114.0,6.1,6.1,0.16,3.32,0.34,0.034,31.0,1,1,1
1645,0.66,12.5,B,0.998,41.0,10.2,2.9,0.36,3.23,0.64,0.122,10.0,0,0,0
1646,0.48,10.5,A,0.9917,125.0,6.2,2.2,0.22,3.19,0.28,0.04,24.0,0,1,1
1647,0.38,10.7,A,0.992,121.0,8.2,1.2,0.23,3.12,0.4,0.027,36.0,0,1,1
1648,0.68,11.3,B,0.9988,27.0,11.9,2.15,0.4,3.06,0.65,0.068,7.0,0,0,0
1649,0.45,11.1,A,0.99127,111.0,7.2,1.3,0.13,2.97,0.46,0.044,48.0,0,1,1
1650,0.33,12.2,A,0.99,126.0,7.1,1.5,0.34,3.3,0.49,0.027,26.0,1,1,1
1651,0.69,11.0,A,0.9922,150.0,6.4,1.8,0.15,3.42,0.36,0.034,43.0,1,1,1
1652,0.55,9.5,A,0.9925,100.0,6.7,1.3,0.23,3.07,0.17,0.061,14.0,0,1,1
1653,0.63,11.0,A,0.9927,164.0,6.9,1.4,0.21,3.25,0.49,0.041,15.0,0,1,1
1654,0.45,11.6,A,0.98981,73.0,5.6,2.0,0.24,3.04,0.34,0.041,14.0,1,1,1
1655,0.62,10.2,B,0.9966,28.0,7.0,2.2,0.6,3.52,0.12,0.083,13.0,1,0,0
1656,0.88,13.5,A,0.99079,107.0,5.4,5.0,0.5,3.48,0.13,0.028,12.0,1,1,1
1657,0.39,9.4,A,0.9974,119.0,7.5,12.4,0.33,3.16,0.39,0.065,29.0,0,1,1
1659,0.5,12.7,A,0.98984,142.0,5.9,1.8,0.21,3.35,0.31,0.033,45.0,0,1,1
1660,0.52,9.2,A,0.99627,168.0,7.4,8.3,0.38,3.11,0.34,0.052,44.0,0,1,1
1661,0.64,11.0,A,0.99615,152.0,6.7,8.5,0.34,3.46,0.3,0.059,24.0,1,1,1
1662,0.73,11.9,B,0.99545,27.0,10.8,1.6,0.29,3.28,0.42,0.084,19.0,0,0,0
1663,0.52,9.3,A,0.9953,104.0,7.1,5.3,0.15,3.37,0.34,0.034,33.0,1,1,1
1664,0.45,9.3,B,0.9963,73.0,8.2,2.3,0.6,3.2,0.17,0.072,11.0,0,0,0
1665,0.34,13.2,A,0.98884,93.0,6.6,1.1,0.16,3.23,0.36,0.031,27.0,1,1,1
1667,0.44,11.63333333,A,0.9898,68.0,5.5,1.2,0.16,3.33,0.31,0.026,31.0,0,1,1
1668,0.63,11.1,B,0.9952,67.0,7.0,1.6,0.23,3.5,0.4,0.063,21.0,0,0,0
1669,0.54,11.0,A,0.99248,136.0,7.3,1.6,0.19,3.38,0.27,0.027,35.0,1,1,1
1671,0.62,9.5,B,0.9987,78.0,9.1,2.4,0.45,3.38,0.35,0.08,23.0,0,0,0
1673,0.48,12.2,A,0.98924,111.0,6.7,2.1,0.34,2.97,0.4,0.033,34.0,1,1,1
1674,0.28,12.5,A,0.9921,109.0,9.4,1.2,0.26,3.23,0.53,0.047,25.0,0,1,1
1675,0.55,9.4,A,0.99604,156.0,6.9,8.4,0.25,3.15,0.47,0.042,36.0,0,1,1
1676,0.44,8.8,A,0.9967,215.0,6.9,8.6,0.29,3.17,0.23,0.056,56.0,0,1,1
1677,0.74,9.8,B,0.9962,29.0,8.2,1.5,0.39,3.26,0.38,0.058,10.0,0,0,0
1678,0.87,10.9,B,0.99724,10.0,10.4,1.9,0.26,3.33,0.48,0.066,6.0,0,0,0
1679,0.68,10.5,A,0.99236,72.0,7.6,1.2,0.27,3.06,0.32,0.043,23.0,0,1,1
1680,0.62,12.2,B,0.99294,53.0,6.4,3.3,0.39,3.36,0.33,0.046,12.0,0,0,0
1681,0.38,11.8,A,0.9958,156.0,7.6,14.0,0.52,3.14,0.49,0.034,37.0,1,1,1
1682,0.46,12.2,A,0.98944,150.0,5.1,2.3,0.3,3.29,0.3,0.048,40.0,0,1,1
1683,0.72,11.0,B,0.9993,53.0,11.2,2.5,0.66,3.06,0.24,0.085,16.0,0,0,0
1684,0.63,9.8,A,0.99356,140.0,7.1,1.6,0.36,3.11,0.2,0.271,24.0,0,1,1
1685,0.27,13.4,A,0.98944,102.0,5.4,6.4,0.45,3.22,0.27,0.033,20.0,1,1,1
1686,0.66,10.5,A,0.99382,107.0,7.3,1.4,0.19,3.53,0.25,0.051,41.0,1,1,1
1687,0.38,13.0,A,0.98854,60.0,5.3,1.4,0.6,3.27,0.34,0.031,3.0,0,1,1
1688,0.54,9.7,B,0.998,14.0,9.1,1.6,0.765,3.29,0.04,0.078,4.0,0,0,0
1689,0.35,11.6,A,0.99382,166.0,7.0,10.3,0.34,3.08,0.26,0.041,51.0,0,1,1
1690,0.72,13.1,B,0.99235,17.0,7.9,2.5,0.54,3.2,0.34,0.076,8.0,1,0,0
1691,0.53,11.4,A,0.9914,148.0,6.3,1.6,0.16,3.44,0.4,0.033,59.0,0,1,1
1692,0.38,13.4,A,0.98862,87.0,7.1,2.7,0.45,2.94,0.24,0.04,24.0,1,1,1
1693,0.34,11.9,A,0.9936,162.0,8.2,6.3,0.35,3.15,0.4,0.039,35.0,1,1,1
1694,0.53,10.0,B,1.00024,101.0,11.6,2.8,0.41,3.13,0.58,0.096,25.0,0,0,0
1695,0.97,10.1,B,0.9996,23.0,11.5,4.0,0.18,3.28,0.51,0.104,4.0,0,0,0
1696,0.41,8.9,A,0.9959,223.0,6.8,7.5,0.32,3.14,0.18,0.041,71.0,0,1,1
1697,0.53,10.4,A,0.9929,102.0,7.7,1.4,0.24,3.26,0.3,0.041,15.0,0,1,1
1698,0.55,9.7,B,0.9964,28.0,7.6,2.2,0.55,3.28,0.21,0.071,7.0,0,0,0
1699,0.85,11.4,A,0.99246,97.0,6.9,7.1,0.24,3.1,0.23,0.041,20.0,0,1,1
1700,0.66,10.1,B,0.99796,88.0,9.7,2.6,0.66,3.26,0.34,0.094,12.0,0,0,0
1701,0.49,8.8,A,0.9988,198.0,7.1,15.4,0.35,3.12,0.24,0.055,46.0,0,1,1
1702,1.62,9.5,B,0.9965,127.0,7.1,2.2,0.31,2.94,0.3,0.053,36.0,0,0,0
1703,0.51,8.7,A,1.00044,111.0,7.2,18.8,0.23,3.1,0.25,0.085,19.0,0,1,1
1704,0.59,10.5,A,0.99239,163.0,5.8,1.6,0.3,3.38,0.12,0.036,57.0,0,1,1
1706,0.43,8.8,A,0.9972,153.0,6.4,11.6,0.21,3.15,0.5,0.042,45.0,0,1,1
1708,0.79,11.3,A,0.9923,249.5,6.1,2.0,0.18,3.37,0.36,0.038,20.0,0,1,1
1709,0.66,10.8,B,0.9951,24.0,7.1,1.7,0.53,3.29,0.07,0.071,15.0,0,0,0
1710,0.49,9.1,B,0.9988,15.0,8.8,2.2,0.6,3.36,0.29,0.098,5.0,0,0,0
1711,0.67,9.4,A,0.99676,146.0,6.6,12.3,0.24,3.1,0.22,0.051,35.0,0,1,1
1712,0.74,10.8,A,0.996,172.0,8.1,4.3,0.24,3.37,0.38,0.044,49.0,0,1,1
1714,0.38,9.2,A,0.9966,89.0,7.0,7.2,0.12,3.29,0.32,0.058,22.0,0,1,1
1715,0.48,10.9,A,0.9924,94.0,7.2,1.6,0.21,3.16,0.37,0.049,23.0,1,1,1
1716,0.49,11.5,A,0.9922,191.0,5.5,4.9,0.32,3.51,0.45,0.028,25.0,1,1,1
1717,0.69,10.3,A,0.9962,119.0,9.4,2.2,0.29,3.12,0.55,0.05,17.0,0,1,1
1718,0.6,10.0,A,0.99316,210.0,6.6,2.5,0.32,3.15,0.33,0.052,40.0,0,1,1
1719,0.62,10.8,B,0.99621,90.0,7.8,2.6,0.815,3.38,0.01,0.074,48.0,0,0,0
1720,0.44,10.5,A,0.99496,130.0,6.6,10.9,0.2,3.11,0.27,0.038,29.0,1,1,1
1721,0.49,11.1,A,0.99266,89.0,5.6,6.9,0.34,3.25,0.3,0.038,23.0,0,1,1
1722,0.59,9.7,A,0.997,210.0,6.1,12.0,0.37,3.17,0.46,0.042,61.0,0,1,1
1723,1.17,9.2,B,0.99623,66.0,8.7,1.7,0.78,3.0,0.51,0.415,12.0,0,0,0
1724,0.48,9.5,B,0.996,102.0,7.8,1.6,0.5,3.39,0.17,0.082,21.0,0,0,0
1725,0.63,10.7,B,0.99605,12.0,8.5,1.7,0.34,3.52,0.44,0.079,6.0,0,0,0
1726,0.43,10.7,A,0.99205,142.0,7.3,1.2,0.28,3.17,0.42,0.033,29.0,0,1,1
1727,0.69,13.4,B,0.9988,19.0,11.3,5.2,0.62,3.22,0.67,0.086,6.0,1,0,0
1728,0.56,10.2,B,0.9958,62.0,8.0,2.0,0.67,3.26,0.3,0.06,38.0,0,0,0
1729,0.34,10.5,A,0.9947,108.0,8.5,8.8,0.17,2.88,0.49,0.048,23.0,0,1,1
1730,0.6,9.9,A,0.99362,123.0,5.8,6.1,0.14,3.06,0.15,0.042,27.0,0,1,1
1731,0.56,9.4,B,0.9978,40.0,7.4,1.8,0.66,3.51,0.0,0.075,13.0,0,0,0
1733,0.69,10.6,B,0.996,24.0,8.2,1.9,0.4,3.24,0.31,0.082,8.0,0,0,0
1734,0.47,11.2,A,0.99242,120.0,8.8,5.0,0.19,2.94,0.3,0.028,34.0,0,1,1
1735,0.49,9.4,B,0.99596,27.0,7.7,1.7,0.39,3.16,0.12,0.097,19.0,0,0,0
1736,0.58,10.4,A,0.99489,189.0,6.8,3.5,0.29,3.42,0.34,0.054,26.0,0,1,1
1737,0.47,9.2,B,0.99592,46.0,7.5,4.1,0.58,3.02,0.03,0.08,27.0,0,0,0
1738,0.46,9.4,B,0.9976,48.0,8.0,2.3,0.43,3.34,0.36,0.075,10.0,0,0,0
1739,0.5,10.5,A,0.9927,144.0,6.5,1.7,0.18,3.49,0.29,0.035,39.0,0,1,1
1742,0.47,10.9,A,0.9951,192.0,7.7,8.0,0.34,2.97,0.3,0.048,25.0,0,1,1
1743,0.42,12.2,A,0.99124,166.0,6.9,5.0,0.44,3.2,0.27,0.038,33.0,0,1,1
1745,0.5,9.4,A,0.99622,155.0,6.2,8.9,0.36,3.27,0.14,0.036,38.0,0,1,1
1746,0.48,9.8,B,0.99615,39.0,7.7,1.7,0.53,3.35,0.06,0.074,9.0,0,0,0
1747,0.42,11.5,A,0.9906,122.0,6.4,1.0,0.24,3.3,0.29,0.038,18.0,0,1,1
